word_pair,word1,word2,pair_freq,word1_freq,word2_freq,logdice
mcewan jenny,mcewan,jenny,6,11,16,12.830075
virginia woolf,virginia,woolf,39,85,91,12.825971
viterbi decoder,viterbi,decoder,16,29,44,12.810175
lola lola,lola,lola,7,16,16,12.807355
acrocarpous mosses,acrocarpous,mosses,5,7,16,12.798366
bailyn voyagers,bailyn,voyagers,5,17,6,12.798366
ros cleal,ros,cleal,5,16,7,12.798366
einen mörder,einen,mörder,5,17,6,12.798366
stratum corneum,stratum,corneum,5,18,5,12.798366
julia eccleshare,julia,eccleshare,5,17,6,12.798366
genital mutilation,genital,mutilation,5,15,8,12.798366
jj edelman,jj,edelman,5,14,9,12.798366
rodrik dani,rodrik,dani,5,12,11,12.798366
obstfeld maurice,obstfeld,maurice,5,8,15,12.798366
trinkaus shipman,trinkaus,shipman,13,26,34,12.793549
carotid artery,carotid,artery,29,65,69,12.791892
gendering castration,gendering,castration,8,12,25,12.790547
fairbank tributary,fairbank,tributary,11,32,19,12.787006
fernand braudel,fernand,braudel,30,31,109,12.777608
derby playhouse,derby,playhouse,12,27,29,12.777608
leucine zipper,leucine,zipper,6,21,7,12.777608
robb je2000,robb,je2000,6,22,6,12.777608
easterling muir,easterling,muir,6,6,22,12.777608
kn chauduri,kn,chauduri,6,22,6,12.777608
petit blanc,petit,blanc,6,14,14,12.777608
lynn steinberg,lynn,steinberg,16,42,33,12.771181
carpal tunnel,carpal,tunnel,39,45,138,12.769702
simon hix,simon,hix,30,106,35,12.767339
boca juniors,boca,juniors,7,24,9,12.762961
christina pratt,christina,pratt,7,14,19,12.762961
chem soc,chem,soc,12,33,24,12.752072
claras notebooks,claras,notebooks,8,19,19,12.752072
fromkin rodman,fromkin,rodman,8,20,18,12.752072
operant conditioning,operant,conditioning,21,22,78,12.748461
spider naevi,spider,naevi,17,63,18,12.747613
inter alia,inter,alia,9,34,9,12.74366
feline immunodeficiency,feline,immunodeficiency,9,21,22,12.74366
freshly squeezed,freshly,squeezed,9,25,18,12.74366
borate glasses,borate,glasses,23,30,80,12.742202
molinia caerulea,molinia,caerulea,5,10,14,12.736966
acetylcholine esterase,acetylcholine,esterase,5,15,9,12.736966
luis borges,luis,borges,5,9,15,12.736966
eine stadt,eine,stadt,5,17,7,12.736966
perversity fantasies,perversity,fantasies,5,7,17,12.736966
andy warhol,andy,warhol,5,18,6,12.736966
basal ganglia,basal,ganglia,12,45,13,12.726982
sumberg okali,sumberg,okali,6,14,15,12.726982
bram dijkstra,bram,dijkstra,6,16,13,12.726982
tintern abbey,tintern,abbey,6,6,23,12.726982
harper torchbooks,harper,torchbooks,6,23,6,12.726982
rna polymerase,rna,polymerase,68,201,128,12.725519
nicely normed,nicely,normed,13,23,40,12.72316
hockney suites,hockney,suites,13,36,27,12.72316
rubp carboxylase,rubp,carboxylase,7,10,24,12.719892
intra textuality,intra,textuality,7,26,8,12.719892
yours sincerely,yours,sincerely,7,16,18,12.719892
cj dk,cj,dk,7,25,9,12.719892
ford madox,ford,madox,50,193,50,12.719044
ambush defences,ambush,defences,15,19,54,12.717066
petri dish,petri,dish,16,29,49,12.714598
da silva,da,silva,8,27,12,12.714598
rhesus macaques,rhesus,macaques,8,14,25,12.714598
sony ericsson,sony,ericsson,8,30,9,12.714598
burnham pal,burnham,pal,9,32,12,12.710493
amartya sen,amartya,sen,10,15,34,12.707218
gamma ray,gamma,ray,24,61,57,12.702319
dot com,dot,com,19,58,37,12.678072
coral reefs,coral,reefs,16,49,31,12.678072
sparrow hawks,sparrow,hawks,10,35,15,12.678072
pnitrophenyl trimethylacetate,pnitrophenyl,trimethylacetate,7,28,7,12.678072
allopatric speciation,allopatric,speciation,5,6,19,12.678072
dj shale,dj,shale,5,19,6,12.678072
shen tes,shen,tes,5,18,7,12.678072
rodman hyams,rodman,hyams,5,18,7,12.678072
hammond cornerstones,hammond,cornerstones,5,17,8,12.678072
saint fusion,saint,fusion,55,123,153,12.672835
alcoholic hepatitis,alcoholic,hepatitis,21,74,32,12.664397
julius caesar,julius,caesar,23,29,88,12.653197
fritz lang,fritz,lang,23,36,81,12.653197
des willens,des,willens,20,82,20,12.649503
shen te,shen,te,10,18,33,12.649503
wight sourcebook,wight,sourcebook,10,12,39,12.649503
cleft palate,cleft,palate,8,21,20,12.642448
del valle,del,valle,12,50,12,12.630766
minoan crete,minoan,crete,6,15,16,12.630766
durbervilles 1891,durbervilles,1891,6,17,14,12.630766
tony blair,tony,blair,27,61,79,12.625604
volcanic eruptions,volcanic,eruptions,10,34,18,12.621488
aesthetically pleasing,aesthetically,pleasing,10,28,24,12.621488
morford lenardon,morford,lenardon,10,28,24,12.621488
bobby sands,bobby,sands,5,7,19,12.621488
lightbrown spada,lightbrown,spada,5,9,17,12.621488
2h 5oh,2h,5oh,5,21,5,12.621488
togaf adm,togaf,adm,5,15,11,12.621488
704 711,704,711,5,9,17,12.621488
samian ware,samian,ware,9,22,25,12.615336
rhyming couplets,rhyming,couplets,9,34,13,12.615336
mens rea,mens,rea,46,193,48,12.610673
gabriel garcia,gabriel,garcia,12,33,30,12.607683
madox ford,madox,ford,46,50,193,12.598749
postpartum haemorrhage,postpartum,haemorrhage,7,11,26,12.597902
regenerated cellulose,regenerated,cellulose,16,25,60,12.590609
extroversion introversion,extroversion,introversion,6,25,7,12.584963
elijah muhammad,elijah,muhammad,6,11,21,12.584963
rep pn,rep,pn,6,23,9,12.584963
ziegler nichols,ziegler,nichols,14,41,34,12.578536
antiwar pacifist,antiwar,pacifist,11,35,24,12.576789
mini skirt,mini,skirt,8,29,14,12.573735
maxine berg,maxine,berg,10,11,43,12.567041
immanuel 17812004,immanuel,17812004,5,22,5,12.567041
osama bin,osama,bin,5,5,22,12.567041
breeder reactors,breeder,reactors,5,12,15,12.567041
